Лемма 	часть
печатный	a
петроградский	a
петербургский	a
немецкий	a
ненормальный	a
необходимый	a
странный	a
грязный	a
сумасшедший	a
студенческий	a
далекий	a
строгий	a
дальний	a
страшный	a
страховой	a
дачный	a
необычный	a
столовый	a
двойной	a
двоюродный	a
двухкомнатный	a
супер	a
начальный	a
платный	a
небольшой	a
надземный	a
московский	a
мужской	a
музыкальный	a
национальный	a
подобный	a
мягкий	a
подземный	a
мясной	a
наглый	a
морской	a
налоговый	a
народный	a
нарядный	a
настоящий	a
наташкин	a
плохой	a
научный	a
голливудский	a
мокрый	a
неплохой	a
непонятный	a
неправильный	a
неприятный	a
неразборчивый	a
нервный	a
неинтересный	a
модный	a
военный	a
поздний	a
молодежный	a
молоденький	a
молодой	a
пожилой	a
молочный	a
мороженый	a
подходящий	a
тонкий	a
выборгский	a
выгодный	a
выпускной	a
точный	a
высокий	a
высший	a
выходной	a
торговый	a
вязаный	a
вчерашний	a
трудный	a
двухместный	a
двухэтажный	a
девичий	a
стиральный	a
стеклянный	a
старый	a
старший	a
тяжелый	a
двухлетний	a
удивительный	a
удачный	a
возможный	a
уголовный	a
угодный	a
угловой	a
уверенный	a
восточный	a
суперский	a
турецкий	a
тупой	a
вредный	a
трудовой	a
тоненький	a
троюродный	a
трехлитровый	a
треугольный	a
грешный	a
социальный	a
докторский	a
сотовый	a
дешевый	a
готовый	a
сырой	a
сырный	a
гражданский	a
греческий	a
деловой	a
грозный	a
громадный	a
громкий	a
счастливый	a
грузовой	a
сухой	a
грустный	a
старинный	a
добрый	a
довольный	a
стандартный	a
деревенский	a
деревянный	a
средний	a
детский	a
государственный	a
способный	a
спортивный	a
спокойный	a
сплошной	a
дипломный	a
специальный	a
длинный	a
дневной	a
дикий	a
холодно	adv
светло	adv
хоп	adv
сверху	adv
подробно	adv
больно	adv
значит	adv
значительно	adv
пожалуй	adv
подряд	adv
может	adv
реально	adv
кажется	adv
регулярно	adv
редко	adv
резко	adv
много	adv
пока	adv
целиком	adv
подозрительно	adv
можно	adv
далее	adv
однажды	adv
видно	adv
гораздо	adv
видимо	adv
обычно	adv
видать	adv
строго	adv
вовсе	adv
далеко	adv
во-первых	adv
шикарно	adv
дай-ка	adv
вообще-то	adv
вообще	adv
хорошо	adv
более	adv
более-менее	adv
известно	adv
рядом	adv
идеально	adv
зря	adv
заранее	adv
налево	adv
скажем	adv
намного	adv
наверное	adv
свободно	adv
больше	adv
здорово	adv
мягко	adv
великолепно	adv
сегодня	adv
наконец	adv
наверно	adv
мимо	adv
наверняка	adv
запросто	adv
наверх	adv
наверху	adv
навсегда	adv
навстречу	adv
заочно	adv
заодно	adv
замуж	adv
ровно	adv
интересно	adv
позавчера	adv
иногда	adv
молча	adv
моментально	adv
надолго	adv
заново	adv
серьезно	adv
замужем	adv
поздно	adv
надо	adv
замечательно	adv
сзади	adv
заметно	adv
босиком	adv
назад	adv
наизусть	adv
сильно	adv
накануне	adv
параллельно	adv
удобно	adv
вместе	adv
впервые	adv
окончательно	adv
скоро	adv
вначале	adv
все-все	adv
откровенно	adv
толком	adv
ок	adv
тоже	adv
внешне	adv
вперед	adv
абсолютно	adv
тяжело	adv
впереди	adv
опять	adv
вот-вот	adv
высоко	adv
впотьмах	adv
открыто	adv
явно	adv
средне	adv
опять-таки	adv
втроем	adv
внизу	adv
отдельно	adv
тихо	adv
вниз	adv
точно	adv
вовремя	adv
вернее	adv
очевидно	adv
вкусно	adv
одновременно	adv
вполне	adv
особенно	adv
тупо	adv
внимательно	adv
уж	adv
нужно	adv
вчера	adv
внутри	adv
главное	adv
счастливо	adv
громко	adv
ужасно	adv
грубо	adv
вряд	adv
удачно	adv
возможно	adv
обязательно	adv
отлично	adv
туда-обратно	adv
весело	adv
осторожно	adv
одинаково	adv
странно	adv
верно	adv
глубоко	adv
особо	adv
тепло	adv
говорят	adv
темно	adv
вероятно	adv
удивительно	adv
давным-давно	adv
давно	adv
также	adv
стыдно	adv
официально	adv
вроде	adv
вечно	adv
охота	adv
оригинально	adv
угодно	adv
страшно	adv
уже	adv
обратно	adv
вокруг	adv
во-вторых	adv
трудно	adv
обидно	adv
очень	adv
очень-очень	adv
супер	adv
немножко	adv
должно	adv
долго	adv
неправильно	adv
соответственно	adv
неприятно	adv
недолго	adv
неразборчиво	adv
достаточно	adv
периодически	adv
ненадолго	adv
дорого	adv
немножечко	adv
быстренько	adv
бывало	adv
немного	adv
несколько	adv
довольно	adv
спасибо	adv
нельзя	adv
действительно	adv
слышь	adv
еле	adv
нехорошо	adv
собственно	adv
душно	adv
дико	adv
недалеко	adv
недавно	adv
негде	adv
невозможно	adv
снова	adv
невкусно	adv
слышно	adv
снизу	adv
фактически	adv
быстро	adv
важно	adv
дома	adv
неплохо	adv
домой	adv
неохота	adv
непонятно	adv
непосредственно	adv
сразу	adv
жутко	adv
напротив	adv
завтра	adv
наоборот	adv
например	adv
направо	adv
еще	adv
смешно	adv
естественно	adv
небось	adv
насколько	adv
жарко	adv
жаль	adv
аккуратно	adv
неважно	adv
дешево	adv
вверх	adv
нечаянно	adv
жалко	adv
справа	adv
похоже	adv
эмоционально	adv
платно	adv
желательно	adv
случайно	adv
буквально	adv
сначала	adv
вдвоем	adv
срочно	adv
сложно	adv
вдруг	adv
нафиг	adv
примерно	adv
слишком	adv
плохо	adv
нормально	adv
слегка	adv
слева	adv
настолько	adv
слабо	adv
скучно	adv
по-английски	adv
круто	adv
легко	adv
безумно	adv
честно	adv
практически	adv
после	adv
кстати	adv
безусловно	adv
чисто	adv
правильно	adv
правда	adv
приблизительно	adv
прикольно	adv
кругом	adv
по-любому	adv
чуть-чуть	adv
равно	adv
часто	adv
по-настоящему	adv
раз	adv
клево	adv
классно	adv
потихоньку	adv
почти	adv
крепко	adv
бегом	adv
красиво	adv
приятно	adv
по-хорошему	adv
бесплатно	adv
прилично	adv
потрясающе	adv
лично	adv
неудобно	adv
коротко	adv
постоянно	adv
бесполезно	adv
постепенно	adv
послезавтра	adv
лень	adv
прекрасно	adv
ладно	adv
четко	adv
совсем	adv
ясно	adv
пора	adv
прямо	adv
пополам	adv
понятно	adv
спокойно	adv
щас	adv
несмотря	adv
шутливо	adv
неинтересно	adv
чуть	adv
нет	adv
сперва	adv
специально	adv
нет-нет	adv
нету	adv
пешком	adv
неизвестно	adv
совершенно	adv
некуда	adv
медленно	adv
мало	adv
менее	adv
близко	adv
разумеется	adv
ярко	adv
рано	adv
полностью	adv
полно	adv
полезно	adv
маленько	adv
конкретно	adv
просто	adv
конечно	adv
затем	adv
чего-чего	adv
прохладно	adv
противно	adv
против	adv
комплект	s
билет	s
комплимент	s
композитор	s
компот	s
компьютер	s
бизнес	s
библиотека	s
комсомолка	s
конверт	s
граф	s
господь	s
взгляд	s
гостиница	s
гость	s
вещь	s
конфетка	s
государство	s
комментарий	s
концепция	s
концерт	s
конь	s
коньяк	s
кооператив	s
комплекс	s
комедия	s
комиссия	s
борьба	s
комментатор	s
коммуникация	s
коммунист	s
комната	s
биология	s
комп	s
компания	s
ветер	s
голова	s
голод	s
вилка	s
виза	s
голос	s
гора	s
горе	s
горло	s
вина	s
вид	s
город	s
городок	s
взрослый	s
горох	s
горошек	s
белка	s
горшок	s
гречка	s
градус	s
вечерок	s
грамм	s
граница	s
господин	s
график	s
грех	s
вечеринка	s
гот	s
вечер	s
гриб	s
гриль	s
гроб	s
ветка	s
ветеран	s
видео	s
гол	s
колхоз	s
колесо	s
колечко	s
количество	s
колледж	s
коктейль	s
коллекция	s
колонка	s
колонна	s
колесико	s
кольцо	s
коляска	s
команда	s
командир	s
командировка	s
комар	s
книжка	s
клей	s
кувшин	s
жанр	s
крыло	s
крыльцо	s
крыса	s
крыша	s
крышка	s
крючок	s
куб	s
клетка	s
кукла	s
коллектив	s
колбаса	s
колбаска	s
колготки	s
коленка	s
колено	s
конспект	s
благо	s
козел	s
контора	s
конец	s
конка	s
конкурс	s
консерватория	s
консервы	s
коза	s
конституция	s
конструктор	s
консультация	s
контакт	s
конек	s
контракт	s
контроль	s
конференция	s
комбикорм	s
клиент	s
клип	s
клоун	s
клуб	s
клубника	s
ключ	s
книга	s
книжечка	s
конфета	s
кнопка	s
кнопочка	s
ковер	s
коврик	s
благодарность	s
код	s
кожа	s
гильдия	s
ворота	s
воротник	s
воскресенье	s
воспитание	s
глаз	s
герменевтика	s
героиня	s
герой	s
ворот	s
гимназия	s
гимнастика	s
гитара	s
глава	s
главное	s
вишня	s
география	s
глазок	s
возраст	s
водичка	s
водка	s
водолазка	s
водитель	s
военный	s
воздух	s
вода	s
возможность	s
глобализация	s
война	s
выражение	s
волк	s
волна	s
волос	s
воля	s
вопрос	s
гарантия	s
газета	s
газетка	s
девятка	s
власть	s
галоша	s
галстук	s
галька	s
гараж	s
газ	s
геморрой	s
генерал	s
гений	s
вкус	s
букет	s
ерунда	s
бумажка	s
содержание	s
влияние	s
глубина	s
витрина	s
глупость	s
витамин	s
вирус	s
виноград	s
говно	s
год	s
вокзал	s
высота	s
выставка	s
выступление	s
выход	s
выходной	s
гад	s
гадость	s
ветвь	s
дебил	s
дева	s
девица	s
девка	s
девочка	s
девушка	s
девчонка	s
вес	s
велосипед	s
громкость	s
грохот	s
грош	s
грудь	s
грузин	s
весна	s
группа	s
груша	s
движение	s
вздох	s
госпиталь	s
дворник	s
дата	s
дача	s
версия	s
дверь	s
двигатель	s
грядка	s
двойка	s
вера	s
двор	s
дворец	s
данные	s
веник	s
вена	s
вуз	s
враг	s
врач	s
внучка	s
время	s
встреча	s
внук	s
воспоминание	s
второе	s
вобла	s
вход	s
выбор	s
внимание	s
вывод	s
выезд	s
вызов	s
выпускной	s
внешность	s
даль	s
вино	s
грязь	s
губа	s
губерния	s
гудрон	s
гульден	s
гусь	s
давление	s
взнос	s
верх	s
дама	s
вторник	s
восток	s
восторг	s
восьмая	s
впечатление	s
карточка	s
класс	s
классика	s
блат	s
кассир	s
карман	s
карта	s
картина	s
картинка	s
клан	s
картошечка	s
картошка	s
карьера	s
касса	s
кассета	s
интернет	s
кастрюля	s
каталог	s
киоск	s
кетчуп	s
кефир	s
кило	s
килограмм	s
километр	s
килька	s
кино	s
кинотеатр	s
категория	s
квадрат	s
кирпич	s
кисель	s
кислород	s
китаец	s
блеск	s
кладбище	s
змея	s
здоровье	s
больной	s
заяц	s
земля	s
зеркало	s
зима	s
зло	s
злодей	s
большевик	s
знак	s
знакомая	s
знакомство	s
знакомый	s
заработок	s
заочник	s
борщ	s
запад	s
звание	s
каток	s
кафе	s
кафедра	s
качество	s
каша	s
кашель	s
кашка	s
зелень	s
квартира	s
звезда	s
звездочка	s
зверь	s
звон	s
звонок	s
звук	s
здание	s
каблук	s
сливки	s
словарь	s
слово	s
сложность	s
слой	s
служба	s
каникулы	s
блюдо	s
слеза	s
кавычка	s
кадр	s
блондинка	s
кайф	s
калитка	s
блокнот	s
камень	s
камера	s
скоба	s
слава	s
сказка	s
скала	s
скандал	s
сканер	s
скидка	s
склад	s
склероз	s
канал	s
сковородка	s
скорость	s
скотина	s
привет	s
сладкое	s
след	s
следователь	s
..лядь	s
исключение	s
искра	s
искусство	s
бобер	s
исполнение	s
блин	s
истерика	s
историк	s
ирония	s
история	s
источник	s
итог	s
июль	s
июнь	s
йогурт	s
йод	s
кипяток	s
карась	s
кабинет	s
каньон	s
капелька	s
капельница	s
капитан	s
блок	s
капуста	s
карамель	s
борода	s
каратэ	s
кардиограмма	s
исследование	s
интонация	s
инфаркт	s
информант	s
информация	s
кресло	s
корабль	s
корень	s
корзина	s
коридор	s
коробка	s
коробочка	s
корова	s
королева	s
кора	s
корпус	s
коса	s
косметика	s
космос	s
костер	s
косточка	s
кость	s
костюм	s
креатив	s
кран	s
красавец	s
беседа	s
котенок	s
краска	s
красота	s
красотка	s
берег	s
косяк	s
кредит	s
крем	s
крендель	s
крепдешин	s
бензин	s
король	s
копия	s
крестная	s
лавочка	s
лагерь	s
лад	s
ладонь	s
лазанье	s
безобразие	s
кружка	s
крест	s
лавка	s
крик	s
кровать	s
кровь	s
кролик	s
кроссовка	s
кроссовок	s
круг	s
белье	s
курс	s
кот	s
куст	s
кулич	s
культура	s
купальник	s
купец	s
куратор	s
курица	s
край	s
куртка	s
кусок	s
кусочек	s
кулак	s
кухня	s
куча	s
безопасность	s
инициатива	s
бой	s
икра	s
болванка	s
имя	s
индеец	s
бокал	s
инет	s
инженер	s
заявление	s
бок	s
иностранец	s
изображение	s
инспектор	s
институт	s
инструктор	s
инструкция	s
инструмент	s
зарплата	s
запас	s
запах	s
записка	s
запись	s
бомба	s
запятая	s
знание	s
зараза	s
интеллект	s
зарядка	s
засада	s
заседание	s
большинство	s
зачет	s
защита	s
заявка	s
изменение	s
игрушка	s
боль	s
идея	s
идиот	s
болото	s
болезнь	s
издательство	s
излучение	s
игра	s
красавица	s
котлета	s
кофе	s
кофта	s
кофточка	s
кошечка	s
кошка	s
кошмар	s
зонт	s
интервью	s
интерес	s
бог	s
интернат	s
зуб	s
значение	s
значок	s
зона	s
копейка	s
больница	s
зонтик	s
зоопарк	s
зрение	s
зритель	s
больная	s
бланк	s
наличие	s
алкоголь	s
неправда	s
альбом	s
адрес	s
наполнитель	s
овощи	s
автор	s
обязанность	s
нерв	s
налог	s
аудитория	s
намек	s
напиток	s
название	s
направление	s
обычай	s
наркоман	s
ноябрь	s
норма	s
ноутбук	s
аккорд	s
нос	s
академия	s
носок	s
обход	s
ночь	s
наркотик	s
нитка	s
ник	s
низ	s
акт	s
актер	s
нянька	s
няня	s
актриса	s
начало	s
огонек	s
овца	s
надпись	s
общение	s
наушник	s
общество	s
национальность	s
артист	s
огонь	s
начальник	s
адвокат	s
начальство	s
агентство	s
армия	s
общежитие	s
небо	s
арка	s
автомобиль	s
народ	s
аська	s
лайка	s
одежда	s
автобус	s
набор	s
автомат	s
одеяло	s
номер	s
нагрузка	s
автоответчик	s
надежда	s
ассортимент	s
огурчик	s
огурец	s
огород	s
ангел	s
милиционер	s
балкон	s
микрофон	s
микроволновка	s
мешок	s
мечта	s
меценат	s
механик	s
милиция	s
анекдот	s
англичанин	s
образец	s
образ	s
оборот	s
обои	s
обогреватель	s
немец	s
мобильник	s
миска	s
минимум	s
оперативник	s
базар	s
мнение	s
опера	s
мобила	s
абзац	s
анчоус	s
набережная	s
миндаль	s
мимоза	s
балалайка	s
оплата	s
балет	s
миллион	s
новость	s
обстановка	s
неделька	s
неделя	s
апостол	s
апельсин	s
образование	s
недостаток	s
ноль	s
американец	s
аккумулятор	s
нога	s
ноготь	s
нож	s
ножик	s
ножка	s
ножницы	s
новое	s
аптека	s
анализ	s
обморок	s
обмен	s
область	s
обида	s
администратор	s
обед	s
негр	s
общее	s
обучение	s
невеста	s
обувь	s
апрель	s
обстоятельство	s
аппетит	s
аппарат	s
баян	s
основа	s
лампочка	s
основание	s
лиса	s
литр	s
башня	s
литература	s
орган	s
лапа	s
организация	s
литератор	s
организм	s
листочек	s
орден	s
лист	s
ложка	s
линолеум	s
оригинал	s
лестница	s
оружие	s
бедняга	s
лес	s
осень	s
бедро	s
лен	s
лекция	s
линия	s
легкое	s
легенда	s
лев	s
латынь	s
лапша	s
лапочка	s
лапка	s
матрас	s
маршрут	s
мамочка	s
маршрутка	s
масленица	s
масло	s
масса	s
определение	s
массаж	s
мастер	s
маманя	s
мамаша	s
материал	s
манера	s
маньяк	s
мат	s
математика	s
сода	s
мать	s
линза	s
линейка	s
лингвист	s
лимон	s
беда	s
лидер	s
лига	s
орех	s
оркестр	s
марка	s
март	s
матрица	s
матч	s
мастерская	s
барабан	s
мамка	s
луна	s
население	s
лох	s
батон	s
любовь	s
любовник	s
любитель	s
батончик	s
лыжа	s
агент	s
лук	s
лужа	s
башка	s
лошадь	s
батарея	s
лось	s
лопата	s
лом	s
аспирантура	s
аренда	s
общага	s
монитор	s
наука	s
объект	s
архитектор	s
натура	s
архитектура	s
машина	s
настройка	s
объем	s
настроение	s
аспирин	s
объявление	s
объяснение	s
насморк	s
май	s
макет	s
макдональдс	s
лифт	s
бас	s
бассейн	s
майонез	s
майка	s
батарейка	s
максимум	s
магнитофон	s
магазинчик	s
магазин	s
люстра	s
люд	s
лекарство	s
летчик	s
лето	s
мама	s
ложечка	s
лодка	s
лоб	s
личность	s
личинка	s
лицо	s
лифчик	s
макароны	s
бакс	s
маляр	s
барахло	s
опыт	s
мальчишка	s
мальчик	s
малыш	s
малина	s
варенье	s
диалект	s
диалог	s
диван	s
диета	s
вата	s
диктофон	s
диплом	s
детство	s
диагноз	s
директор	s
дирижер	s
диск	s
дискета	s
дискотека	s
диссертация	s
длина	s
ванная	s
жуть	s
жук	s
бригада	s
бред	s
дух	s
журнал	s
журналистика	s
бревно	s
брат	s
дневник	s
браслет	s
забор	s
заведение	s
зависимость	s
завод	s
вариант	s
деятельность	s
джинсы	s
доход	s
дерьмо	s
десятка	s
десяток	s
деталь	s
детка	s
дружба	s
доска	s
доставка	s
дерево	s
дочка	s
дочь	s
драка	s
дракон	s
бык	s
дрова	s
друг	s
дорожка	s
деканат	s
день	s
век	s
дед	s
дедушка	s
дежурный	s
действие	s
декабрь	s
декан	s
жопа	s
дело	s
ведро	s
ванна	s
деньги	s
депрессия	s
вдох	s
деревня	s
буфет	s
живот	s
дэ	s
бухгалтер	s
духи	s
духовка	s
буханка	s
душ	s
душа	s
будка	s
дырка	s
дырочка	s
дыхание	s
животное	s
дядька	s
дядя	s
еврей	s
еврейка	s
буква	s
бумага	s
бульон	s
бульвар	s
булочка	s
желание	s
булка	s
железо	s
елка	s
бутылочка	s
желудок	s
жена	s
жених	s
будущее	s
женщина	s
жест	s
жесть	s
замок	s
боулинг	s
ботинок	s
заказ	s
закон	s
босоножка	s
зал	s
зам	s
замечание	s
завтрак	s
занятие	s
жулик	s
жидкость	s
будильник	s
брюки	s
жизнь	s
жир	s
бровь	s
брак	s
бутылка	s
евро	s
еда	s
бутерброд	s
ежик	s
зайчик	s
завуч	s
загадка	s
дрянь	s
загс	s
зад	s
задание	s
задача	s
бочка	s
задница	s
зажигалка	s
мотоцикл	s
музыкант	s
бабочка	s
музыка	s
музей	s
мужчина	s
озеро	s
мужик	s
муж	s
мука	s
мотор	s
мост	s
месяц	s
банк	s
меню	s
мера	s
мероприятие	s
мертвый	s
мясорубка	s
мыло	s
мысль	s
мышка	s
мышца	s
муть	s
баба	s
аэропорт	s
мясо	s
бандит	s
август	s
мяч	s
мячик	s
база	s
мусор	s
муравейник	s
мультик	s
банка	s
бар	s
оппонент	s
механизм	s
медсестра	s
баня	s
баночка	s
мелодия	s
мелочь	s
медик	s
менеджер	s
младенец	s
минус	s
минута	s
минутка	s
минуточка	s
мир	s
операция	s
метро	s
бандероль	s
место	s
мент	s
банан	s
метод	s
методика	s
метр	s
баллон	s
мучение	s
мех	s
медосмотр	s
машинка	s
мебель	s
мед	s
медаль	s
медведь	s
должность	s
дождь	s
доказательство	s
доклад	s
клиника	s
вал	s
документ	s
долг	s
ваза	s
валенок	s
доллар	s
дом	s
вагон	s
домик	s
дорога	s
окончание	s
октябрь	s
момент	s
бухгалтерия	s
дуб	s
дума	s
дура	s
дурак	s
дурачок	s
дурдом	s
дурочка	s
дурь	s
окраина	s
доктор	s
дно	s
добро	s
доверенность	s
вампир	s
договор	s
дождик	s
молоток	s
мозг	s
бабушка	s
бабуля	s
ом	s
молодежь	s
окно	s
молодость	s
молоко	s
модель	s
олимпиада	s
молочко	s
окунь	s
абонемент	s
мышь	s
авария	s
бабка	s
муха	s
мороженое	s
монастырь	s
окошко	s
монстр	s
морда	s
море	s
молчание	s
морковка	s
морковь	s
жара	s
мороз	s
морозилка	s
бабулька	s
москвич	s
молодец	s
могила	s
мода	s
фестиваль	s
урок	s
урод	s
уровень	s
урка	s
упражнение	s
управление	s
упаковка	s
унитаз	s
университет	s
универ	s
умничка	s
ус	s
фигня	s
фига	s
фиг	s
трава	s
февраль	s
фасон	s
фара	s
фантастика	s
фанат	s
фамилия	s
факультет	s
учеба	s
факс	s
файл	s
фабрика	s
ущелье	s
ушко	s
учительница	s
учитель	s
сыр	s
тариф	s
тарелка	s
таракан	s
тапочка	s
тапка	s
танк	s
счетчик	s
талон	s
талант	s
такси	s
тайм	s
тайга	s
тазик	s
таблетка	s
сюжет	s
училище	s
сын	s
съезд	s
танец	s
участок	s
участник	s
участие	s
уход	s
ухо	s
уха	s
утро	s
устройство	s
установка	s
успех	s
условие	s
туфля	s
уксус	s
украшение	s
укол	s
узбек	s
ужин	s
ужас	s
удовольствие	s
удивление	s
туберкулез	s
удар	s
угол	s
уборка	s
убийство	s
тюль	s
тысяча	s
улица	s
тусовка	s
турникет	s
тумбочка	s
тумба	s
удача	s
понятой	s
поп	s
попа	s
попытка	s
первое	s
пора	s
пепельница	s
пень	s
пенсия	s
пенсионер	s
умница	s
ученый	s
ученик	s
учебник	s
факт	s
туалет	s
тряпка	s
трусы	s
трудность	s
труд	s
трубочка	s
трубка	s
труба	s
троллейбус	s
тройка	s
троица	s
татарин	s
третья	s
треть	s
тренировка	s
тренинг	s
тренер	s
транспорт	s
трамвай	s
трактор	s
традиция	s
трагедия	s
травка	s
треугольник	s
ум	s
улыбка	s
шарик	s
шов	s
шляпа	s
шкурка	s
шкура	s
шар	s
школа	s
шкаф	s
ширина	s
шея	s
шерсть	s
шейпинг	s
шашлык	s
шашка	s
шахматы	s
шарф	s
шок	s
школьник	s
тетрадь	s
тетрадка	s
тетка	s
тесто	s
тест	s
территория	s
терраска	s
терраса	s
терпение	s
термос	s
термин	s
фигура	s
теория	s
тень	s
число	s
шапочка	s
шапка	s
шанс	s
шампунь	s
шампанское	s
шаман	s
шаг	s
чушь	s
чурка	s
чулок	s
чувство	s
штанишки	s
чтение	s
член	s
чистка	s
температура	s
четверть	s
четвертая	s
четверка	s
четверг	s
честь	s
чеснок	s
чертеж	s
чувак	s
штамп	s
шофер	s
